time,value
1.14105,0.89704001
1.1411,0.90080112
1.14115,0.9008444
1.1412,0.88673246
1.14125,0.88871491
1.1413,0.89408177
1.14135,0.87872851
1.1414,0.86128777
1.14145,0.89438438
1.1415,0.90063441
1.14155,0.87192887
1.1416,0.87643105
1.14165,0.90231425
1.1417,0.87441158
1.14175,0.86105311
1.1418,0.88198322
1.14185,0.89164847
1.1419,0.87523913
1.14195,0.87389898
1.142,0.88791203
1.14205,0.89258105
1.1421,0.87672132
1.14215,0.88078511
1.1422,0.90474135
1.14225,0.89956594
1.1423,0.87617171
1.14235,0.88647306
1.1424,0.90578508
1.14245,0.89755881
1.1425,0.90002912
1.14255,0.90842217
1.1426,0.88947457
1.14265,0.89449555
1.1427,0.91450542
1.14275,0.90012181
1.1428,0.88369393
1.14285,0.90766871
1.1429,0.91015142
1.14295,0.88154471
1.143,0.88426208
1.14305,0.90490812
1.1431,0.89177817
1.14315,0.8831628
1.1432,0.89121616
1.14325,0.88912868
1.1433,0.88299602
1.14335,0.88577521
1.1434,0.89090121
1.14345,0.89133966
1.1435,0.88133472
1.14355,0.8788026
1.1436,0.89818257
1.14365,0.88813436
1.1437,0.8836692
1.14375,0.90056026
1.1438,0.90744025
1.14385,0.89150023
1.1439,0.89695358
1.14395,0.90209806
1.144,0.89617538
1.14405,0.89628655
1.1441,0.91124457
1.14415,0.90754521
1.1442,0.89037007
1.14425,0.88935721
1.1443,0.89991796
1.14435,0.89127791
1.1444,0.8848303
1.14445,0.89244515
1.1445,0.89067888
1.14455,0.88232905
1.1446,0.89799726
1.14465,0.90469813
1.1447,0.89172876
1.14475,0.88424355
1.1448,0.88483644
1.14485,0.88296515
1.1449,0.87969196
1.14495,0.88522553
1.145,0.89099997
1.14505,0.88847405
1.1451,0.89151877
1.14515,0.89393973
1.1452,0.88376188
1.14525,0.88596666
1.1453,0.89448935
1.14535,0.89260572
1.1454,0.88767737
1.14545,0.89343327
1.1455,0.89767611
1.14555,0.88642985
1.1456,0.89756495
1.14565,0.9042967
1.1457,0.88770205
1.14575,0.89244515
1.1458,0.90227717
1.14585,0.89729941
1.1459,0.8930195
1.14595,0.89398295
1.146,0.88873965
1.14605,0.87730187
1.1461,0.88672626
1.14615,0.89234632
1.1462,0.90012795
1.14625,0.89466232
1.1463,0.8855899
1.14635,0.88714623
1.1464,0.88885695
1.14645,0.88599753
1.1465,0.88575667
1.14655,0.87674606
1.1466,0.87965488
1.14665,0.88774532
1.1467,0.89418674
1.14675,0.88475615
1.1468,0.88166207
1.14685,0.89610744
1.1469,0.88781941
1.14695,0.87423247
1.147,0.90172136
1.14705,0.90815043
1.1471,0.89551455
1.14715,0.89464992
1.1472,0.90971297
1.14725,0.90508723
1.1473,0.89024657
1.14735,0.88812822
1.1474,0.89017862
1.14745,0.88618279
1.1475,0.89361858
1.14755,0.89215487
1.1476,0.89492166
1.14765,0.90057266
1.1477,0.90195602
1.14775,0.88605928
1.1478,0.88198322
1.14785,0.89069122
1.1479,0.8876403
1.14795,0.88473767
1.148,0.89268601
1.14805,0.89049357
1.1481,0.90188807
1.14815,0.90254891
1.1482,0.89116675
1.14825,0.88224876
1.1483,0.88173616
1.14835,0.88587403
1.1484,0.88912255
1.14845,0.88899899
1.1485,0.89517492
1.14855,0.89441526
1.1486,0.89670652
1.14865,0.89416206
1.1487,0.88833201
1.14875,0.88673246
1.1488,0.88471293
1.14885,0.88601607
1.1489,0.89608276
1.14895,0.89741057
1.149,0.88909781
1.14905,0.88352716
1.1491,0.89882487
1.14915,0.88844317
1.1492,0.88218081
1.14925,0.89291453
1.1493,0.89308745
1.14935,0.88702893
1.1494,0.90028852
1.14945,0.90042442
1.1495,0.88539845
1.14955,0.88291574
1.1496,0.89510077
1.14965,0.88243407
1.1497,0.87627667
1.14975,0.8831628
1.1498,0.88701653
1.14985,0.8895734
1.1499,0.88901752
1.14995,0.88122356
1.15,0.88093328
1.15005,0.8896969
1.1501,0.89399529
1.15015,0.89216727
1.1502,0.89098763
