time,value
0.6514,0.85693997
0.65145,0.83742416
0.6515,0.82958078
0.65155,0.81889647
0.6516,0.89362478
0.65165,0.9010976
0.6517,0.86808747
0.65175,0.94225991
0.6518,0.95495135
0.65185,0.84168553
0.6519,0.88454622
0.65195,0.93497235
0.652,0.86141747
0.65205,0.86975497
0.6521,0.92691278
0.65215,0.88130385
0.6522,0.89303803
0.65225,0.92428803
0.6523,0.90149903
0.65235,0.91063935
0.6524,0.91060847
0.65245,0.8968671
0.6525,0.90677941
0.65255,0.88133472
0.6526,0.84532928
0.65265,0.89220428
0.6527,0.89615685
0.65275,0.89526135
0.6528,0.92296022
0.65285,0.89319247
0.6529,0.87849385
0.65295,0.89269835
0.653,0.85721791
0.65305,0.8446191
0.6531,0.87383103
0.65315,0.84619391
0.6532,0.85727966
0.65325,0.92771566
0.6533,0.91900766
0.65335,0.88009953
0.6534,0.87710422
0.65345,0.86836535
0.6535,0.87361485
0.65355,0.87142241
0.6536,0.86339378
0.65365,0.88420653
0.6537,0.89646566
0.65375,0.90443254
0.6538,0.9124921
0.65385,0.90653235
0.6539,0.89594072
0.65395,0.90338266
0.654,0.8951996
0.65405,0.88741797
0.6541,0.90789104
0.65415,0.87469566
0.6542,0.85629147
0.65425,0.91017616
0.6543,0.91990316
0.65435,0.89569366
0.6544,0.90418553
0.65445,0.90387672
0.6545,0.87803066
0.65455,0.8684271
0.6546,0.86360991
0.65465,0.86197335
0.6547,0.86614203
0.65475,0.87975991
0.6548,0.91681522
0.65485,0.91990316
0.6549,0.87126803
0.65495,0.86694491
0.655,0.89254397
0.65505,0.87466478
0.6551,0.87179297
0.65515,0.87321341
0.6552,0.8640731
0.65525,0.89717591
0.6553,0.92292935
0.65535,0.90579128
0.6554,0.9169696
0.65545,0.92527616
0.6555,0.90017122
0.65555,0.90372235
0.6556,0.92382485
0.65565,0.89893603
0.6557,0.87296641
0.65575,0.88152003
0.6558,0.92157066
0.65585,0.92885822
0.6559,0.90752053
0.65595,0.90094316
0.656,0.90606916
0.65605,0.87627053
0.6561,0.86626554
0.65615,0.87738216
0.6562,0.86567885
0.65625,0.85916328
0.6563,0.87244147
0.65635,0.86719197
0.6564,0.85931766
0.65645,0.87015635
0.6565,0.87648666
0.65655,0.87194741
0.6566,0.86611116
0.65665,0.83560228
0.6567,0.8371771
0.65675,0.85706347
0.6568,0.87886435
0.65685,0.89272922
0.6569,0.89291453
0.65695,0.87787622
0.657,0.88451535
0.65705,0.87895703
0.6571,0.87429422
0.65715,0.90498841
0.6572,0.91471541
0.65725,0.89600247
0.6573,0.91218328
0.65735,0.93775147
0.6574,0.92963016
0.65745,0.91320235
0.6575,0.92076778
0.65755,0.91993403
0.6576,0.90156078
0.65765,0.8881591
0.6577,0.90619266
0.65775,0.89414972
0.6578,0.87549853
0.65785,0.8925131
0.6579,0.91335672
0.65795,0.88556522
0.658,0.88324928
0.65805,0.90220922
0.6581,0.87796885
0.65815,0.85437697
0.6582,0.89001185
0.65825,0.88516378
0.6583,0.84511316
0.65835,0.85873097
0.6584,0.90026385
0.65845,0.89980066
0.6585,0.90017122
0.65855,0.89847285
0.6586,0.89479816
0.65865,0.87216353
0.6587,0.8770116
0.65875,0.88491672
0.6588,0.86941528
0.65885,0.86821097
0.6589,0.90115935
0.65895,0.91323322
0.659,0.9028886
0.65905,0.90807635
0.6591,0.90946591
0.65915,0.89334685
0.6592,0.88294047
0.65925,0.87837029
0.6593,0.87988341
0.65935,0.88760328
0.6594,0.88429916
0.65945,0.88754147
0.6595,0.90026385
0.65955,0.89047503
0.6596,0.87460303
0.65965,0.87574553
0.6597,0.87259585
0.65975,0.86604941
0.6598,0.88256991
0.65985,0.88954866
0.6599,0.87938935
0.65995,0.87864822
0.66,0.88287872
0.66005,0.88371247
0.6601,0.89115441
0.66015,0.89309978
0.6602,0.89933747
0.66025,0.88939428
0.6603,0.88395947
0.66035,0.90857041
0.6604,0.91104078
0.66045,0.89152497
0.6605,0.89652741
0.66055,0.92601728
0.6606,0.91243035
0.66065,0.88411391
0.6607,0.8802231
0.66075,0.87642491
0.6608,0.86922997
0.66085,0.87389278
0.6609,0.88306397
0.66095,0.89035153
0.661,0.88167441
0.66105,0.87966722
0.6611,0.88167441
0.66115,0.87157685
0.6612,0.86265266
0.66125,0.86672878
0.6613,0.87750566
0.66135,0.88707829
0.6614,0.89655828
0.66145,0.89862722
0.6615,0.9153021
0.66155,0.9489916
0.6616,0.94794172
0.66165,0.92861116
0.6617,0.87926579
0.66175,0.81392491
0.6618,0.83041453
0.66185,0.91394341
0.6619,0.90745872
0.66195,0.90393847
0.662,0.89362478
0.66205,0.9290126
0.6621,0.91153485
0.66215,0.80932385
0.6622,0.90350616
0.66225,0.83356422
0.6623,0.75460547
0.66235,0.72131747
0.6624,0.7865966
0.66245,0.87920403
0.6625,0.81460422
