time,value
1.6985,0.90716851
1.69855,0.89471787
1.6986,0.82096541
1.69865,0.84926951
1.6987,0.92382485
1.69875,0.87511563
1.6988,0.8446129
1.69885,0.92400396
1.6989,0.94657683
1.69895,0.85311091
1.699,0.8640731
1.69905,0.90789723
1.6991,0.8533209
1.69915,0.79954743
1.6992,0.8298772
1.69925,0.89923865
1.6993,0.87975371
1.69935,0.87585056
1.6994,0.93245256
1.69945,0.93101978
1.6995,0.8492201
1.69955,0.85235745
1.6996,0.89896691
1.69965,0.88241553
1.6997,0.86643231
1.69975,0.93982661
1.6998,0.95593327
1.69985,0.89836168
1.6999,0.88909781
1.69995,0.92028606
1.7,0.89296395
1.70005,0.865228
1.7001,0.90847778
1.70015,0.93765885
1.7002,0.91955113
1.70025,0.92212647
1.7003,0.9260605
1.70035,0.8881591
1.7004,0.84519345
1.70045,0.83836287
1.7005,0.87311465
1.70055,0.86538243
1.7006,0.86252916
1.70065,0.91186213
1.7007,0.92573935
1.70075,0.90243155
1.7008,0.90232038
1.70085,0.91566032
1.7009,0.89082706
1.70095,0.87372601
1.701,0.89360005
1.70105,0.88788116
1.7011,0.85848397
1.70115,0.89628041
1.7012,0.92502916
1.70125,0.90065289
1.7013,0.88371247
1.70135,0.91985375
1.7014,0.92802447
1.70145,0.90907067
1.7015,0.91609263
1.70155,0.91696346
1.7016,0.87213266
1.70165,0.86123836
1.7017,0.87526381
1.70175,0.88247728
1.7018,0.87481916
1.70185,0.90157932
1.7019,0.91650641
1.70195,0.90113461
1.702,0.88172996
1.70205,0.87840116
1.7021,0.88567638
1.70215,0.88578135
1.7022,0.87819123
1.70225,0.88494766
1.7023,0.88694245
1.70235,0.89105558
1.7024,0.89350742
1.70245,0.88915342
1.7025,0.88387305
1.70255,0.87591851
1.7026,0.86864948
1.70265,0.8902095
1.7027,0.91115808
1.70275,0.91863096
1.7028,0.8989237
1.70285,0.90209806
1.7029,0.89599627
1.70295,0.87255877
1.703,0.8708666
1.70305,0.87963635
1.7031,0.87409657
1.70315,0.8771475
1.7032,0.8914879
1.70325,0.91554916
1.7033,0.91617912
1.70335,0.91265887
