time,value
0.3701,0.88821465
0.37015,0.88509893
0.3702,0.90239453
0.37025,0.89710486
0.3703,0.87059486
0.37035,0.88664907
0.3704,0.9035278
0.37045,0.8816312
0.3705,0.87168491
0.37055,0.89332211
0.3706,0.89867973
0.37065,0.88845861
0.3707,0.8827706
0.37075,0.88434237
0.3708,0.87901258
0.37085,0.87728333
0.3709,0.88456166
0.37095,0.88941896
0.371,0.89027745
0.37105,0.89339316
0.3711,0.9013415
0.37115,0.90239453
0.3712,0.89465612
0.37125,0.89027745
0.3713,0.88910711
0.37135,0.89104325
0.3714,0.89362478
0.37145,0.89535093
0.3715,0.89936215
0.37155,0.90203631
0.3716,0.8957122
0.37165,0.88795531
0.3717,0.88256067
0.37175,0.89188004
0.3718,0.89659846
0.37185,0.89363092
0.3719,0.89913982
0.37195,0.90484017
0.372,0.89780581
0.37205,0.88858831
0.3721,0.88539231
0.37215,0.88200176
0.3722,0.86588883
0.37225,0.88152927
0.3723,0.9033981
0.37235,0.89500815
0.3724,0.88397491
0.37245,0.89265823
0.3725,0.90005386
0.37255,0.88451838
0.3726,0.87915158
0.37265,0.89222902
0.3727,0.89452952
0.37275,0.88933557
0.3728,0.89567512
0.37285,0.90088451
0.3729,0.89371741
0.37295,0.88104141
0.373,0.89061403
0.37305,0.8923772
0.3731,0.89267677
0.37315,0.89916146
0.3732,0.90201777
0.37325,0.89280951
0.3733,0.88870877
0.37335,0.89563811
0.3734,0.89586657
0.37345,0.8858493
0.3735,0.8932789
0.37355,0.89774716
0.3736,0.89678371
0.37365,0.8930319
0.3737,0.89547753
0.37375,0.89323568
0.3738,0.88177013
0.37385,0.8744517
0.3739,0.88614267
0.37395,0.89120996
0.374,0.89088881
0.37405,0.89089501
0.3741,0.89945173
0.37415,0.89736116
0.3742,0.89325112
0.37425,0.89444923
0.3743,0.88874269
0.37435,0.87574863
0.3744,0.88743031
0.37445,0.89472097
0.3745,0.89155895
0.37455,0.88896197
0.3746,0.89502358
0.37465,0.89015079
0.3747,0.88500011
0.37475,0.89944243
0.3748,0.9010914
0.37485,0.88503098
0.3749,0.88844317
0.37495,0.89695972
0.375,0.89728397
0.37505,0.8884216
0.3751,0.88557142
0.37515,0.89301026
0.3752,0.88858211
0.37525,0.88522863
0.3753,0.88729137
0.37535,0.88440412
0.3754,0.88769901
0.37545,0.88724506
0.3755,0.88031882
0.37555,0.87631065
0.3756,0.8808623
0.37565,0.88494456
0.3757,0.88448137
0.37575,0.88830423
0.3758,0.88160032
0.37585,0.8862353
0.3759,0.89448011
0.37595,0.89248836
0.376,0.89013845
0.37605,0.88676953
0.3761,0.89144468
0.37615,0.89168245
0.3762,0.88262552
0.37625,0.88372171
0.3763,0.8890546
0.37635,0.89124393
